Name,ToxPi Score,Industrial,Impervious,100-yr Floodplain (%),SVI_Socioeconomic Status,SVI_Household Characteristics,SVI_Racial & Ethnic Minority Status,SVI_Housing Type/Transportation,Arthritis,High blood pressure,Cancer,Asthma,Coronary heart disease,chronic obstructive pulmonary disease,depression,diagnosed diabetes,high cholesterol,obesity,stroke,Teeth lost,Percentile rank of annual mean days above O3 regulatory standard - 3-year average,Percentile rank of annual mean days above PM2.5 regulatory standard - 3-year average,Percentile rank of ambient concentrations of diesel PM/m3,Percentile rank of the probability of contracting cancer over the course of a lifetime, assuming continuous exposure,Percentile rank of the proportion of tract's area within 1-mi buffer of EPA National Priority List site,Percentile rank of the proportion of tract's area within 1-mi buffer of EPA Toxic Release Inventory site,Percentile rank of the proportion of tract's area within 1-mi buffer of EPA Treatment, Storage, and Disposal site,Percentile rank of the proportion of tract's area within 1-mi buffer of EPA risk management plan site
48245001301,0.610,0.302,0.894,0.229,0.809,0.936,0.562,1.000,0.599,0.483,0.425,0.610,0.677,0.822,0.814,0.540,0.694,0.625,0.574,0.499,0.000,0.785,1.000,0.851,0.000,0.829,0.910,0.000
48245001302,0.521,0.260,0.591,0.054,0.781,0.759,0.733,0.621,0.520,0.352,0.521,0.508,0.492,0.564,0.627,0.397,0.577,0.490,0.397,0.427,0.000,0.785,0.344,0.851,0.000,0.730,0.845,0.834
48245001303,0.372,0.273,0.313,0.378,0.368,0.251,0.470,0.532,0.329,0.266,0.575,0.203,0.308,0.287,0.119,0.259,0.676,0.237,0.191,0.098,0.000,0.785,0.414,0.851,0.000,0.544,0.589,0.730
48245001700,0.556,0.083,0.907,0.094,0.791,0.628,0.774,0.470,0.500,0.577,0.233,0.576,0.385,0.475,0.102,0.566,0.568,0.704,0.471,0.410,0.359,0.785,0.794,0.983,0.000,1.000,0.859,0.925
48245001900,0.411,0.000,1.000,0.000,0.823,0.746,0.863,0.679,0.079,0.213,0.082,0.322,0.200,0.317,0.169,0.402,0.405,0.494,0.265,0.407,0.359,0.785,0.650,0.983,0.000,0.862,0.000,0.000
48245002000,0.491,0.000,1.000,0.000,0.729,0.925,0.898,0.695,0.342,0.416,0.164,0.441,0.477,0.515,0.339,0.587,0.613,0.648,0.471,0.499,0.359,0.785,0.682,0.851,0.000,0.828,0.000,0.000
48245002100,0.630,0.258,0.997,0.000,1.000,0.936,0.908,0.822,0.664,0.685,0.219,0.661,0.754,0.832,0.407,0.788,0.748,0.806,0.779,0.623,0.000,0.785,0.746,0.851,0.000,0.913,0.814,0.000
48245002200,0.580,1.000,0.600,0.081,0.574,0.950,0.913,0.083,0.599,0.644,0.274,0.763,0.523,0.594,0.390,0.603,0.595,0.704,0.618,0.540,0.000,0.785,0.515,0.851,0.000,0.908,0.648,0.898
48245002300,0.493,0.000,0.943,0.016,0.573,0.818,0.904,0.083,0.618,0.644,0.342,0.559,0.508,0.495,0.034,0.608,0.622,0.660,0.559,0.386,0.359,0.785,0.523,0.851,0.000,0.792,0.621,0.000
48245002400,0.482,0.000,1.000,0.000,0.927,0.645,0.817,0.627,0.349,0.431,0.137,0.610,0.385,0.564,0.525,0.545,0.450,0.696,0.456,0.566,0.359,0.785,0.517,0.983,0.000,0.636,0.000,0.000
48245002500,0.476,0.049,0.988,0.000,0.749,0.600,0.833,0.504,0.184,0.345,0.068,0.542,0.185,0.406,0.407,0.429,0.261,0.688,0.324,0.462,0.359,0.785,0.449,0.983,0.000,0.824,0.778,0.662
48245002600,0.483,0.481,0.941,0.000,0.847,0.245,0.718,1.000,0.000,0.161,0.000,0.559,0.092,0.356,0.729,0.286,0.000,0.605,0.265,0.298,0.359,0.785,0.441,0.983,0.000,0.987,0.964,0.949
48245005100,0.692,0.036,0.000,1.000,0.820,0.467,0.808,0.150,1.000,0.891,0.425,0.746,1.000,1.000,0.288,0.931,0.937,0.854,0.941,0.606,1.000,0.785,0.281,0.851,0.976,0.561,0.609,0.730
48245005400,0.575,0.000,0.937,0.091,0.832,0.989,1.000,0.405,0.487,0.588,0.219,0.542,0.446,0.515,0.237,0.608,0.613,0.723,0.500,0.475,1.000,0.785,0.092,0.983,0.000,0.930,0.574,0.961
48245005500,0.558,0.000,0.902,0.092,0.930,0.795,0.819,0.440,0.441,0.427,0.219,0.407,0.554,0.574,0.186,0.661,0.730,0.581,0.500,0.523,1.000,0.785,0.064,0.983,0.000,0.799,0.830,0.812
48245005600,0.445,0.000,0.900,0.602,0.734,0.728,0.973,0.124,0.099,0.109,0.096,0.305,0.338,0.386,0.373,0.487,0.441,0.486,0.294,0.442,1.000,0.785,0.002,0.851,0.000,0.000,0.778,0.679
